run_id,mean,median,std,min,max,p10,p90,p99,count,probe,model_tag,quant,ctx,npredict,decoding,temp,repeat_idx
20251112T191932Z-artemisia-v0a56-tlb-tinyllama_1p1b-q4_0-c512-n16-g-seed42-r002,6320.182666666667,6290.0,630.1312092414793,5834,18252,6091.8,6444.0,6726.02,1500,tlb,tinyllama_1p1b,q4_0,512,16,greedy,0.0,2
20251112T191934Z-artemisia-v0a56-tlb-tinyllama_1p1b-q4_0-c512-n16-g-seed42-r003,6332.242666666667,6286.0,763.441042427681,5800,26958,6113.8,6436.0,6698.28,1500,tlb,tinyllama_1p1b,q4_0,512,16,greedy,0.0,3
20251112T191937Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c512-n64-g-seed42-r001,17004.257333333335,16806.0,1518.3932135913526,15860,39060,16620.0,17054.2,25791.98,1500,cache,tinyllama_1p1b,q4_0,512,64,greedy,0.0,1
20251112T191939Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c512-n64-g-seed42-r002,16885.248,16758.0,1062.3234519550592,15850,31424,16593.8,16992.0,23432.419999999995,1500,cache,tinyllama_1p1b,q4_0,512,64,greedy,0.0,2
20251112T191942Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c512-n64-g-seed42-r003,16519.688,16446.0,616.3924602875993,16298,24098,16414.0,16484.0,17157.14,1500,cache,tinyllama_1p1b,q4_0,512,64,greedy,0.0,3
20251112T191944Z-artemisia-v0a56-tlb-tinyllama_1p1b-q4_0-c512-n64-g-seed42-r001,5900.9186666666665,5820.0,427.81379962508765,5390,13710,5714.0,6158.200000000001,6586.04,1500,tlb,tinyllama_1p1b,q4_0,512,64,greedy,0.0,1
20251112T191946Z-artemisia-v0a56-tlb-tinyllama_1p1b-q4_0-c512-n64-g-seed42-r002,6211.425333333334,6158.0,545.0380972401695,5712,15948,5938.0,6398.0,7354.0599999999995,1500,tlb,tinyllama_1p1b,q4_0,512,64,greedy,0.0,2
20251112T191949Z-artemisia-v0a56-tlb-tinyllama_1p1b-q4_0-c512-n64-g-seed42-r003,5784.053333333333,5758.0,401.20685493793394,5474,14782,5692.0,5834.0,6148.04,1500,tlb,tinyllama_1p1b,q4_0,512,64,greedy,0.0,3
20251112T191951Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c512-n256-g-seed42-r001,16520.721333333335,16444.0,706.2782248983278,16282,26926,16414.0,16472.0,17128.28,1500,cache,tinyllama_1p1b,q4_0,512,256,greedy,0.0,1
20251112T191953Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c512-n256-g-seed42-r002,16507.889333333333,16442.0,630.4868570167052,16324,24982,16412.0,16470.0,17054.02,1500,cache,tinyllama_1p1b,q4_0,512,256,greedy,0.0,2
20251112T191956Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c512-n256-g-seed42-r003,16526.765333333333,16442.0,1126.4042648964335,16334,53766,16412.0,16470.0,17094.76,1500,cache,tinyllama_1p1b,q4_0,512,256,greedy,0.0,3
20251112T191958Z-artemisia-v0a56-tlb-tinyllama_1p1b-q4_0-c512-n256-g-seed42-r001,5802.944,5762.0,355.50220356817437,5392,14368,5688.0,5892.0,6262.02,1500,tlb,tinyllama_1p1b,q4_0,512,256,greedy,0.0,1
20251112T192000Z-artemisia-v0a56-tlb-tinyllama_1p1b-q4_0-c512-n256-g-seed42-r002,5776.604,5750.0,416.93191850362297,5548,13238,5684.0,5820.0,5888.04,1500,tlb,tinyllama_1p1b,q4_0,512,256,greedy,0.0,2
20251112T192003Z-artemisia-v0a56-tlb-tinyllama_1p1b-q4_0-c512-n256-g-seed42-r003,5824.922666666666,5768.0,392.82925031047347,5112,14552,5690.0,6036.200000000001,6628.04,1500,tlb,tinyllama_1p1b,q4_0,512,256,greedy,0.0,3
20251112T192005Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c2048-n16-g-seed42-r001,16520.648,16444.0,649.6527086507357,16272,24740,16412.0,16474.0,17495.64,1500,cache,tinyllama_1p1b,q4_0,2048,16,greedy,0.0,1
20251112T192008Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c2048-n16-g-seed42-r002,16537.873333333333,16444.0,753.8813120405523,16326,25456,16412.0,16480.0,20067.659999999978,1500,cache,tinyllama_1p1b,q4_0,2048,16,greedy,0.0,2
20251112T192010Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c2048-n16-g-seed42-r003,16523.616,16444.0,663.5532763169871,16368,25900,16414.0,16476.0,17378.719999999994,1500,cache,tinyllama_1p1b,q4_0,2048,16,greedy,0.0,3
20251112T192012Z-artemisia-v0a56-tlb-tinyllama_1p1b-q4_0-c2048-n16-g-seed42-r001,5801.666666666667,5756.0,361.97730030050775,5442,14226,5686.0,5882.400000000001,6240.02,1500,tlb,tinyllama_1p1b,q4_0,2048,16,greedy,0.0,1
20251112T192015Z-artemisia-v0a56-tlb-tinyllama_1p1b-q4_0-c2048-n16-g-seed42-r002,5861.721333333333,5778.0,493.60980146497326,4832,15734,5698.0,6126.200000000001,6668.0599999999995,1500,tlb,tinyllama_1p1b,q4_0,2048,16,greedy,0.0,2
20251112T192017Z-artemisia-v0a56-tlb-tinyllama_1p1b-q4_0-c2048-n16-g-seed42-r003,5813.694666666666,5756.0,464.87772690483206,5354,13712,5686.0,5955.600000000002,6268.02,1500,tlb,tinyllama_1p1b,q4_0,2048,16,greedy,0.0,3
20251112T192019Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c2048-n64-g-seed42-r001,16507.273333333334,16442.0,709.6566420849772,16288,28332,16412.0,16470.0,17020.1,1500,cache,tinyllama_1p1b,q4_0,2048,64,greedy,0.0,1
20251112T192022Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c2048-n64-g-seed42-r002,16538.344,16446.0,788.0891840640201,16356,31532,16414.0,16482.0,19376.679999999993,1500,cache,tinyllama_1p1b,q4_0,2048,64,greedy,0.0,2
20251112T192024Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c2048-n64-g-seed42-r003,16503.632,16442.0,590.477431949007,16312,25234,16412.0,16472.0,17090.02,1500,cache,tinyllama_1p1b,q4_0,2048,64,greedy,0.0,3
20251112T192026Z-artemisia-v0a56-tlb-tinyllama_1p1b-q4_0-c2048-n64-g-seed42-r001,5791.82,5756.0,400.18518345140615,5452,13506,5688.0,5838.0,6272.16,1500,tlb,tinyllama_1p1b,q4_0,2048,64,greedy,0.0,1
20251112T192029Z-artemisia-v0a56-tlb-tinyllama_1p1b-q4_0-c2048-n64-g-seed42-r002,5788.698666666666,5758.0,404.58428725695615,5242,16904,5688.0,5842.200000000001,6190.08,1500,tlb,tinyllama_1p1b,q4_0,2048,64,greedy,0.0,2
20251112T192031Z-artemisia-v0a56-tlb-tinyllama_1p1b-q4_0-c2048-n64-g-seed42-r003,5803.124,5761.0,382.5494312315166,5390,14178,5686.0,5860.0,6252.139999999999,1500,tlb,tinyllama_1p1b,q4_0,2048,64,greedy,0.0,3
20251112T192033Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c2048-n256-g-seed42-r001,16533.42,16444.0,720.9623855937001,16340,28062,16412.0,16476.0,21202.86,1500,cache,tinyllama_1p1b,q4_0,2048,256,greedy,0.0,1
20251112T192036Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c2048-n256-g-seed42-r002,16537.392,16446.0,682.4471552795616,16216,28840,16412.0,16492.4,17430.26,1500,cache,tinyllama_1p1b,q4_0,2048,256,greedy,0.0,2
20251112T192038Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c2048-n256-g-seed42-r003,16508.406666666666,16442.0,636.7700705152729,16182,25044,16410.0,16474.0,17528.8,1500,cache,tinyllama_1p1b,q4_0,2048,256,greedy,0.0,3
20251112T192040Z-artemisia-v0a56-tlb-tinyllama_1p1b-q4_0-c2048-n256-g-seed42-r001,5781.141333333333,5750.0,428.23340511656437,5498,15670,5688.0,5822.0,6246.0599999999995,1500,tlb,tinyllama_1p1b,q4_0,2048,256,greedy,0.0,1
20251112T192043Z-artemisia-v0a56-tlb-tinyllama_1p1b-q4_0-c2048-n256-g-seed42-r002,5984.990666666667,5794.0,1174.8102527640606,5376,47306,5694.0,6414.200000000001,6928.32,1500,tlb,tinyllama_1p1b,q4_0,2048,256,greedy,0.0,2
20251112T192045Z-artemisia-v0a56-tlb-tinyllama_1p1b-q4_0-c2048-n256-g-seed42-r003,5803.390666666666,5758.0,381.8356343777722,5388,13786,5684.0,5876.0,6576.12,1500,tlb,tinyllama_1p1b,q4_0,2048,256,greedy,0.0,3
20251112T192047Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n64-g-seed42-r001,1499.492,1472.0,276.4846815324156,1350,8542,1372.0,1606.0,1994.0,1500,btb,tinyllama_1p1b,q4_0,512,64,greedy,0.0,1
20251112T192050Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n64-s-seed42-r001,1506.9213333333332,1442.0,298.6627732292131,1350,11238,1358.0,1624.0,2042.02,1500,btb,tinyllama_1p1b,q4_0,512,64,sample,1.0,1
20251112T192052Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n64-g-seed42-r002,1522.2533333333333,1477.0,359.685808833589,1350,11386,1368.0,1630.0,2032.1,1500,btb,tinyllama_1p1b,q4_0,512,64,greedy,0.0,2
20251112T192054Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n64-s-seed42-r002,1499.7973333333334,1476.0,143.08480387619474,1348,2426,1366.0,1612.0,2022.08,1500,btb,tinyllama_1p1b,q4_0,512,64,sample,1.0,2
20251112T192057Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n64-g-seed42-r003,1509.5133333333333,1528.0,240.0031586590749,1352,8810,1358.0,1616.0,2030.12,1500,btb,tinyllama_1p1b,q4_0,512,64,greedy,0.0,3
20251112T192059Z-artemisia-v0a56-btb-tinyllama_1p1b-q4_0-c512-n64-s-seed42-r003,1978.7133333333334,1941.0,278.45768968645694,1774,11900,1880.0,2112.2000000000003,2364.04,1500,btb,tinyllama_1p1b,q4_0,512,64,sample,1.0,3
20251112T192101Z-artemisia-v0a56-pht-tinyllama_1p1b-q4_0-c512-n64-g-seed42-r001,3904.028,3894.0,117.85397853348351,3602,5162,3778.0,4026.0,4294.02,1500,pht,tinyllama_1p1b,q4_0,512,64,greedy,0.0,1
20251112T192104Z-artemisia-v0a56-pht-tinyllama_1p1b-q4_0-c512-n64-s-seed42-r001,3850.2573333333335,3832.0,405.0051636311992,3624,17394,3741.8,3938.2000000000003,4046.1,1500,pht,tinyllama_1p1b,q4_0,512,64,sample,1.0,1
20251112T192106Z-artemisia-v0a56-pht-tinyllama_1p1b-q4_0-c512-n64-g-seed42-r002,3893.6573333333336,3848.0,432.76849888669244,3672,12782,3768.0,3986.4000000000005,4402.2,1500,pht,tinyllama_1p1b,q4_0,512,64,greedy,0.0,2
20251112T192108Z-artemisia-v0a56-pht-tinyllama_1p1b-q4_0-c512-n64-s-seed42-r002,3946.193333333333,3860.0,961.1539137166278,3666,36316,3778.0,4058.2000000000003,4774.239999999998,1500,pht,tinyllama_1p1b,q4_0,512,64,sample,1.0,2
20251112T192111Z-artemisia-v0a56-pht-tinyllama_1p1b-q4_0-c512-n64-g-seed42-r003,3891.108,3844.0,486.6027214011274,3688,16664,3766.0,3988.0,4388.26,1500,pht,tinyllama_1p1b,q4_0,512,64,greedy,0.0,3
20251112T192113Z-artemisia-v0a56-pht-tinyllama_1p1b-q4_0-c512-n64-s-seed42-r003,3914.268,3840.0,1156.5546013367673,3670,44108,3766.0,3974.0,4419.239999999999,1500,pht,tinyllama_1p1b,q4_0,512,64,sample,1.0,3
20251112T192318Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c128-n32-g-seed42-r001,17215.338666666667,16809.0,3697.311042807968,14960,75352,16108.0,17349.200000000004,28676.92,1500,cache,tinyllama_1p1b,q4_0,128,32,greedy,0.0,1
20251112T192320Z-artemisia-v0a56-cache-tinyllama_1p1b-q4_0-c512-n32-g-seed42-r001,16976.892,16810.0,1434.5770939996276,15976,42556,16642.0,17042.2,25308.64,1500,cache,tinyllama_1p1b,q4_0,512,32,greedy,0.0,1
