ts_ns,freq_khz
1764049151765020772,2000000
1764049151785197783,2000000
1764049151805353061,2000000
1764049151825430334,2000000
1764049151845503985,2000000
1764049151865579069,2000059
1764049151885686639,1999979
1764049151905906271,2000000
1764049151925999574,2000000
1764049151946083723,2000000
1764049151966171331,2000020
1764049151986257966,1999979
1764049152006364730,2000020
1764049152026467595,2000000
1764049152046555186,1999979
1764049152066642043,2000000
1764049152086720970,2000000
1764049152106797216,2000000
1764049152126872043,2000000
1764049152146950380,2000000
1764049152167033748,1999979
1764049152187116565,1999979
1764049152207192614,2000060
1764049152227268187,2000000
1764049152247348602,2000000
1764049152267423899,2000020
1764049152287498528,2000020
1764049152307572285,2000040
1764049152327647035,2000020
1764049152347723791,2000179
1764049152367802913,2000000
1764049152387878901,2000492
1764049152407954017,2000000
