ts_ns,freq_khz
1764049154579731121,2000000
1764049154599896594,2000000
1764049154620049240,2000000
1764049154640137190,2000000
1764049154660213929,2000000
1764049154680292619,2000000
1764049154700403823,2000000
1764049154720552004,2000020
1764049154740627804,2000000
1764049154760703753,2000000
1764049154780782187,2000000
1764049154800864255,2000000
1764049154820953473,2000015
1764049154841041493,2000020
1764049154861137347,2000000
1764049154881225934,2000000
1764049154901310051,2000000
1764049154921391089,2000034
1764049154941468851,2000000
1764049154961544788,1999979
1764049154981623816,2000000
1764049155001699528,1999979
1764049155021775247,2000000
1764049155041850913,2000000
1764049155061930712,1999979
1764049155082008097,2000020
1764049155102082038,2000000
1764049155122157758,2000020
1764049155142233590,2000000
1764049155162312524,2000000
1764049155182392873,2006514
1764049155202475388,1994065
1764049155222551603,2000000
