ts_ns,freq_khz
1764049157394907486,2000000
1764049157415075317,2000000
1764049157435225893,2000000
1764049157455303151,2000000
1764049157475376514,2000000
1764049157495453614,2000000
1764049157515544843,2000000
1764049157535680898,2000000
1764049157555757493,1999976
1764049157575829766,1999976
1764049157595902820,1999979
1764049157615981555,2000000
1764049157636066667,2000000
1764049157656154941,2000000
1764049157676244464,2000000
1764049157696334122,2000000
1764049157716424893,2000000
1764049157736507046,2000020
1764049157756584658,2000000
1764049157776661615,1999979
1764049157796737459,1999979
1764049157816812561,2000000
1764049157836888724,2000020
1764049157856965387,2000014
1764049157877042285,1999979
1764049157897118111,2000000
1764049157917193414,1999979
1764049157937266546,2000000
1764049157957339232,2000057
1764049157977412999,1996913
1764049157997488574,2000000
1764049158017562524,2000000
