ts_ns,freq_khz
1764049174432594146,2000000
1764049174452767153,2000000
1764049174472853205,2000000
1764049174492930135,2000000
1764049174513005233,2000000
1764049174533078872,2000000
1764049174553220913,2000000
1764049174573361223,2000000
1764049174593436782,2000014
1764049174613511399,2000054
1764049174633587011,2000000
1764049174653669801,2000000
1764049174673758421,2000020
1764049174693848355,2000020
1764049174713934590,1999939
1764049174734019636,2000020
1764049174754103674,1999939
1764049174774186555,2000020
1764049174794268794,2000000
1764049174814346825,1999979
1764049174834424352,2000000
1764049174854498733,1999959
1764049174874573527,1999915
1764049174894650220,2000040
1764049174914728421,2000000
1764049174934804874,2000000
1764049174954883407,2000000
1764049174974963769,2000000
1764049174995046631,1999979
1764049175015127936,2000000
1764049175035210138,2000000
1764049175055285476,1993355
1764049175075363619,2000000
