ts_ns,freq_khz
1764049168884190690,2000000
1764049168904361554,2000000
1764049168924516591,2000000
1764049168944593543,2000000
1764049168964666792,2000000
1764049168984744927,2000000
1764049169004840933,2000000
1764049169024981001,2000000
1764049169045057905,2005988
1764049169065132357,2000000
1764049169085207355,1999963
1764049169105287520,2000020
1764049169125375290,2000000
1764049169145475429,1996830
1764049169165564366,2004987
1764049169185653038,2000025
1764049169205740505,1999959
1764049169225824751,2000000
1764049169245915287,2000000
1764049169265990613,2000020
1764049169286065780,1999939
1764049169306140950,2000020
1764049169326217392,2000000
1764049169346294060,1999979
1764049169366372247,2000000
1764049169386457808,1999979
1764049169406532550,2000000
1764049169426607445,1999959
1764049169446685952,2000083
1764049169466760444,2001272
1764049169486838522,1992907
1764049169506918674,2000000
1764049169527001491,2000000
