ts_ns,probe,iter,cycles
71778746891193,tlb,0,4636
71778746919155,tlb,1,7880
71778746924169,tlb,2,7986
71778746928077,tlb,3,6608
71778746932028,tlb,4,6874
71778746935881,tlb,5,6784
71778746939649,tlb,6,6502
71778746943501,tlb,7,6586
71778746947249,tlb,8,6552
71778746950889,tlb,9,6198
71778746954521,tlb,10,6280
71778746958125,tlb,11,6198
71778746961632,tlb,12,6102
71778746965356,tlb,13,6458
71778746969061,tlb,14,6224
71778746972688,tlb,15,6218
71778746976372,tlb,16,6300
71778746980110,tlb,17,6450
71778746983790,tlb,18,6316
71778746987528,tlb,19,6324
71778746991106,tlb,20,6178
71778746994765,tlb,21,6326
71778746998233,tlb,22,6100
71778747007648,tlb,23,17740
71778747011361,tlb,24,6208
71778747015084,tlb,25,6362
71778747018677,tlb,26,6342
71778747022386,tlb,27,6396
71778747026049,tlb,28,6250
71778747029822,tlb,29,6336
71778747033540,tlb,30,6342
71778747037263,tlb,31,6338
71778747040858,tlb,32,6284
71778747044408,tlb,33,6092
71778747048004,tlb,34,6206
71778747051661,tlb,35,6290
71778747055344,tlb,36,6306
71778747059114,tlb,37,6386
71778747062837,tlb,38,6332
71778747066587,tlb,39,6450
71778747070307,tlb,40,6264
71778747073977,tlb,41,6302
71778747077605,tlb,42,6240
71778747081286,tlb,43,6326
71778747084871,tlb,44,6300
71778747088597,tlb,45,6424
71778747092349,tlb,46,6492
71778747096094,tlb,47,6286
71778747099782,tlb,48,6288
71778747103476,tlb,49,6262
71778747107106,tlb,50,6142
71778747110772,tlb,51,6204
71778747114514,tlb,52,6354
71778747118148,tlb,53,6150
71778747121711,tlb,54,6224
71778747125249,tlb,55,6186
71778747128942,tlb,56,6374
71778747132650,tlb,57,6220
71778747136382,tlb,58,6406
71778747140107,tlb,59,6362
71778747143883,tlb,60,6420
71778747147415,tlb,61,6236
71778747151016,tlb,62,6278
71778747154647,tlb,63,6260
71778747158411,tlb,64,6450
71778747162222,tlb,65,6488
71778747165893,tlb,66,6292
71778747169617,tlb,67,6258
71778747173221,tlb,68,6066
71778747176902,tlb,69,6280
71778747180507,tlb,70,6224
71778747184291,tlb,71,6406
71778747187964,tlb,72,6198
71778747191611,tlb,73,6180
71778747195545,tlb,74,6732
71778747199240,tlb,75,6372
71778747203055,tlb,76,6422
71778747206796,tlb,77,6376
71778747210430,tlb,78,6256
71778747214077,tlb,79,6288
71778747217750,tlb,80,6374
71778747221461,tlb,81,6346
71778747225207,tlb,82,6354
71778747228989,tlb,83,6388
71778747232680,tlb,84,6296
71778747236333,tlb,85,6188
71778747239936,tlb,86,6208
71778747243786,tlb,87,6524
71778747247391,tlb,88,6176
71778747251086,tlb,89,6270
71778747254717,tlb,90,6204
71778747258350,tlb,91,6156
71778747262042,tlb,92,6318
71778747265820,tlb,93,6408
71778747269619,tlb,94,6416
71778747273402,tlb,95,6414
71778747277055,tlb,96,6426
71778747280729,tlb,97,6278
71778747284413,tlb,98,6318
71778747288144,tlb,99,6334
71778747292115,tlb,100,6814
71778747299455,tlb,101,6394
71778747303316,tlb,102,6528
71778747307036,tlb,103,6288
71778747310740,tlb,104,6216
71778747314551,tlb,105,6416
71778747318198,tlb,106,6128
71778747321806,tlb,107,6076
71778747325550,tlb,108,6370
71778747329282,tlb,109,6284
71778747333009,tlb,110,6350
71778747336782,tlb,111,6374
71778747340576,tlb,112,6388
71778747344354,tlb,113,6330
71778747348022,tlb,114,6198
71778747351694,tlb,115,6222
71778747355385,tlb,116,6340
71778747359147,tlb,117,6274
71778747362905,tlb,118,6306
71778747366672,tlb,119,6396
71778747370327,tlb,120,6154
71778747373906,tlb,121,6080
71778747377621,tlb,122,6376
71778747381214,tlb,123,6348
71778747384831,tlb,124,6362
71778747388487,tlb,125,6252
71778747392174,tlb,126,6306
71778747395784,tlb,127,6122
71778747399365,tlb,128,6296
71778747403082,tlb,129,6322
71778747406781,tlb,130,6222
71778747410539,tlb,131,6352
71778747414328,tlb,132,6356
71778747418046,tlb,133,6294
71778747421720,tlb,134,6172
71778747425375,tlb,135,6294
71778747429075,tlb,136,6214
71778747432874,tlb,137,6378
71778747436580,tlb,138,6342
71778747440396,tlb,139,6402
71778747444149,tlb,140,6320
71778747447799,tlb,141,6180
71778747451612,tlb,142,6434
71778747455323,tlb,143,6286
71778747459093,tlb,144,6346
71778747462832,tlb,145,6284
71778747466445,tlb,146,6152
71778747470178,tlb,147,6432
71778747473851,tlb,148,6246
71778747477549,tlb,149,6296
71778747481265,tlb,150,6280
71778747484956,tlb,151,6138
71778747488609,tlb,152,6224
71778747492273,tlb,153,6226
71778747495914,tlb,154,6176
71778747499559,tlb,155,6222
71778747503144,tlb,156,6282
71778747506646,tlb,157,6236
71778747510305,tlb,158,6276
71778747513897,tlb,159,6272
71778747517509,tlb,160,6272
71778747520975,tlb,161,6172
71778747524557,tlb,162,6278
71778747528140,tlb,163,6304
71778747531858,tlb,164,6266
71778747535607,tlb,165,6342
71778747539370,tlb,166,6328
71778747543010,tlb,167,6158
71778747546640,tlb,168,6164
71778747550256,tlb,169,6106
71778747553987,tlb,170,6260
71778747557734,tlb,171,6358
71778747561418,tlb,172,6316
71778747565077,tlb,173,6494
71778747568685,tlb,174,6326
71778747572248,tlb,175,6134
71778747575899,tlb,176,6360
71778747579594,tlb,177,6360
71778747583074,tlb,178,6114
71778747586718,tlb,179,6198
71778747590297,tlb,180,6252
71778747594028,tlb,181,6244
71778747597755,tlb,182,6278
71778747601347,tlb,183,6070
71778747605105,tlb,184,6464
71778747608741,tlb,185,6142
71778747612424,tlb,186,6276
71778747616087,tlb,187,6310
71778747619777,tlb,188,6244
71778747623491,tlb,189,6202
71778747627099,tlb,190,6116
71778747630822,tlb,191,6356
71778747634625,tlb,192,6366
71778747638347,tlb,193,6258
71778747642159,tlb,194,6402
71778747645793,tlb,195,6110
71778747649568,tlb,196,6292
71778747653419,tlb,197,6438
71778747657105,tlb,198,6168
71778747660742,tlb,199,6080
71778747664489,tlb,200,6322
71778747678785,tlb,201,6062
71778747682428,tlb,202,6038
71778747686034,tlb,203,6062
71778747689691,tlb,204,6102
71778747693367,tlb,205,6138
71778747697032,tlb,206,6156
71778747700650,tlb,207,6114
71778747704189,tlb,208,5974
71778747707827,tlb,209,6066
71778747711419,tlb,210,5992
71778747715051,tlb,211,6114
71778747718588,tlb,212,6050
71778747722279,tlb,213,6262
71778747726153,tlb,214,6540
71778747729821,tlb,215,6314
71778747733521,tlb,216,6274
71778747737269,tlb,217,6278
71778747741029,tlb,218,6306
71778747744803,tlb,219,6392
71778747748537,tlb,220,6284
71778747752230,tlb,221,6202
71778747755924,tlb,222,6286
71778747759660,tlb,223,6368
71778747763249,tlb,224,6178
71778747766806,tlb,225,6098
71778747770512,tlb,226,6428
71778747774141,tlb,227,6298
71778747777831,tlb,228,6324
71778747781503,tlb,229,6242
71778747785022,tlb,230,6108
71778747788627,tlb,231,6282
71778747792279,tlb,232,6402
71778747795804,tlb,233,5958
71778747799444,tlb,234,6380
71778747802969,tlb,235,6070
71778747806532,tlb,236,6124
71778747810206,tlb,237,6414
71778747813850,tlb,238,6158
71778747817568,tlb,239,6320
71778747821335,tlb,240,6366
71778747824976,tlb,241,6166
71778747828644,tlb,242,6348
71778747832169,tlb,243,6148
71778747835750,tlb,244,6176
71778747839424,tlb,245,6402
71778747842956,tlb,246,6102
71778747846669,tlb,247,6398
71778747850232,tlb,248,6192
71778747853865,tlb,249,6276
71778747857592,tlb,250,6426
71778747861211,tlb,251,6302
71778747864900,tlb,252,6284
71778747868421,tlb,253,5998
71778747871974,tlb,254,6198
71778747875516,tlb,255,6128
71778747879051,tlb,256,6134
71778747882558,tlb,257,6088
71778747886128,tlb,258,6214
71778747889784,tlb,259,6352
71778747893413,tlb,260,6254
71778747897058,tlb,261,6386
71778747900590,tlb,262,6086
71778747904140,tlb,263,6304
71778747907722,tlb,264,6120
71778747911306,tlb,265,6232
71778747914904,tlb,266,6248
71778747918489,tlb,267,6100
71778747922034,tlb,268,6220
71778747925703,tlb,269,6426
71778747929246,tlb,270,6152
71778747932959,tlb,271,6446
71778747936608,tlb,272,6318
71778747940121,tlb,273,6220
71778747943783,tlb,274,6306
71778747947370,tlb,275,6026
71778747950999,tlb,276,6232
71778747954582,tlb,277,6132
71778747958179,tlb,278,6172
71778747961822,tlb,279,6152
71778747965362,tlb,280,6012
71778747969004,tlb,281,6248
71778747972666,tlb,282,6340
71778747976257,tlb,283,6226
71778747979768,tlb,284,6116
71778747983394,tlb,285,6382
71778747986907,tlb,286,6156
71778747990536,tlb,287,6472
71778747994246,tlb,288,6382
71778747997903,tlb,289,6264
71778748007646,tlb,290,18352
71778748011326,tlb,291,6160
71778748014974,tlb,292,6106
71778748018588,tlb,293,6164
71778748022250,tlb,294,6332
71778748025782,tlb,295,6186
71778748029328,tlb,296,6232
71778748032999,tlb,297,6418
71778748036548,tlb,298,6198
71778748040083,tlb,299,6162
71778748043582,tlb,300,6044
71778748052934,tlb,301,6266
71778748056598,tlb,302,6150
71778748060305,tlb,303,6286
71778748064055,tlb,304,6308
