ts_ns,freq_khz
1764049163158846394,2000000
1764049163179012902,2000000
1764049163199164658,2000000
1764049163219243244,2000000
1764049163239320356,2000000
1764049163259398170,2000000
1764049163279492993,2000000
1764049163299635661,2000000
1764049163319716836,2000000
1764049163339800946,2000000
1764049163359936764,2000000
1764049163380021467,2000020
1764049163400109140,2000000
1764049163420197742,2000000
1764049163440282852,1999959
1764049163460369001,1999979
1764049163480469284,2000000
1764049163500556907,2000000
1764049163520645596,2000000
1764049163540729131,2000040
1764049163560807111,1999979
1764049163580884255,1999979
1764049163600959909,1999979
1764049163621035942,2000040
1764049163641114177,2000000
1764049163661190632,2000000
1764049163681267761,1999979
1764049163701344639,2000020
1764049163721420810,2000040
1764049163741493846,1999959
1764049163761567762,2005917
1764049163781645611,2000000
1764049163801730740,2000000
