ts_ns,freq_khz
1762975261808328509,2000000
1762975261828575852,2000000
1762975261848872180,2004728
1762975261869053366,2000000
1762975261889229498,2000000
1762975261909404000,2000000
1762975261929607315,2000000
1762975261949859211,2000000
