ts_ns,probe,iter,cycles
68968710412690,cache,0,75242
68968710437668,cache,1,16476
68968710446594,cache,2,16422
68968710455079,cache,3,16440
68968710463570,cache,4,16468
68968710472041,cache,5,16434
68968710480501,cache,6,16414
68968710488986,cache,7,16460
68968710497473,cache,8,16472
68968710505937,cache,9,16428
68968710514400,cache,10,16420
68968710522961,cache,11,16462
68968710531453,cache,12,16458
68968710539916,cache,13,16414
68968710548386,cache,14,16434
68968710556879,cache,15,16476
68968710565355,cache,16,16442
68968710573815,cache,17,16412
68968710582290,cache,18,16440
68968710590777,cache,19,16464
68968710599250,cache,20,16432
68968710607712,cache,21,16410
68968710616195,cache,22,16454
68968710624677,cache,23,16460
68968710633141,cache,24,16424
68968710641606,cache,25,16414
68968710650096,cache,26,16464
68968710658575,cache,27,16456
68968710667037,cache,28,16416
68968710675513,cache,29,16436
68968710683997,cache,30,16466
68968710692476,cache,31,16444
68968710700934,cache,32,16412
68968710709409,cache,33,16444
68968710717905,cache,34,16468
68968710726374,cache,35,16430
68968710734836,cache,36,16420
68968710743325,cache,37,16460
68968710751808,cache,38,16456
68968710760275,cache,39,16422
68968710768745,cache,40,16430
68968710777241,cache,41,16468
68968710785722,cache,42,16448
68968710794181,cache,43,16410
68968710802658,cache,44,16438
68968710811147,cache,45,16468
68968710819630,cache,46,16454
68968710828091,cache,47,16408
68968710836568,cache,48,16452
68968710845062,cache,49,16468
68968710853527,cache,50,16426
68968710861992,cache,51,16420
68968710870484,cache,52,16472
68968710878978,cache,53,16472
68968710887450,cache,54,16438
68968710895925,cache,55,16442
68968710904420,cache,56,16466
68968710912900,cache,57,16456
68968710921366,cache,58,16416
68968710929843,cache,59,16444
68968710938341,cache,60,16484
68968710946820,cache,61,16446
68968710955280,cache,62,16408
68968710963757,cache,63,16452
68968710972247,cache,64,16466
68968710980709,cache,65,16420
68968710989171,cache,66,16416
68968710997655,cache,67,16456
68968711010029,cache,68,24090
68968711018838,cache,69,16508
