ts_ns,freq_khz
1764049171694058698,2000000
1764049171714227743,2000000
1764049171734375789,2000000
1764049171754459913,2000000
1764049171774533972,2000000
1764049171794607875,2000000
1764049171814700678,2000000
1764049171834836463,2000020
1764049171854912124,2000040
1764049171874984748,2000000
1764049171895059404,1999979
1764049171915137532,2000000
1764049171935222965,2000000
1764049171955306889,2000000
1764049171975392253,2000000
1764049171995476702,1999979
1764049172015561478,1999979
1764049172035645650,2000000
1764049172055728113,2000020
1764049172075810206,2000020
1764049172095890986,2000020
1764049172115969313,2000000
1764049172136045019,2000020
1764049172156121114,2000020
1764049172176199556,2000020
1764049172196277004,1994638
1764049172216357828,2000000
1764049172236443833,1993079
1764049172256517957,2000000
