ts_ns,freq_khz
1762975148720813088,2000000
1762975148741010823,2000000
1762975148761100160,2000000
1762975148781183251,2000020
1762975148801276965,2000020
1762975148821358577,1996563
1762975148841465082,1999979
1762975148861611558,2000000
1762975148881678868,2000000
1762975148901765131,1999682
