ts_ns,freq_khz
1764049165969325239,2000000
1764049165989492199,2000000
1764049166009644637,2000000
1764049166029722966,2000000
1764049166049797318,2000000
1764049166069871640,2000000
1764049166089946198,2000000
1764049166110031990,2000000
1764049166130106513,2000000
1764049166150180589,2000000
1764049166170295958,2000020
1764049166190448471,2000000
1764049166210524911,2000000
1764049166230601102,2000000
1764049166250676942,1999940
1764049166270756579,2000000
1764049166290834465,2000000
1764049166310909796,2000000
1764049166330984282,2000000
1764049166351060050,1999979
1764049166371146914,2000020
1764049166391233864,1999959
1764049166411323175,2000000
1764049166431412311,2000040
1764049166451499564,1999979
1764049166471580054,1999979
1764049166491657982,2000040
1764049166511734473,2000000
1764049166531811341,2000000
1764049166551885521,2000000
1764049166571962247,2000000
1764049166592035884,2000000
1764049166612117752,1999959
1764049166632191880,2000020
1764049166652265743,2000603
1764049166672340277,1986254
1764049166692415314,2005730
1764049166712488769,2000000
